O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,
O,60564,HUM,121,641,Humanities: Early Civ: GT-AH2,3,MW,0100PM,0150PM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60564,HUM,121,641,Humanities: Early Civ: GT-AH2,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60565,HUM,122,601,Humanities: Mediev-Mod: GT-AH2,3,MWF,1100AM,1150AM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61791,HUM,122,602,Humanities: Mediev-Mod: GT-AH2,3,TR,1125AM,1240PM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62579,HUM,123,601,Humanities: Modern Wrld:GT-AH2,3,TR,0225PM,0340PM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61271,IND,105,641,Intro to Interior Design,3,MW,1015AM,1215PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61271,IND,105,641,Intro to Interior Design,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63937,IND,112,641,Graphic Communication,4,F,1245PM,0445PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63937,IND,112,641,Graphic Communication,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61286,IND,114,641,Space Planning,3,MW,1230PM,0230PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61286,IND,114,641,Space Planning,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64966,IND,200,621,Delete Kitchen and Bath Design,4,TR,0800AM,1000AM,FLARMR,RP135,7,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64966,IND,200,621,Kitchen and Bath Design,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63300,IND,200,641,Kitchen and Bath Design,4,MW,0800AM,1000AM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63300,IND,200,641,Kitchen and Bath Design,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62843,IND,213,641,IND Portfolio Presentations,3,F,0815AM,1215PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62843,IND,213,641,IND Portfolio Presentations,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63819,IND,220,641,Interior Design III,3,TR,0245PM,0445PM,FLARMR,RP135,20,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63819,IND,220,641,Interior Design III,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62415,IND,225,641,Lighting Design,3,TR,1230PM,0230PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62415,IND,225,641,Lighting Design,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62416,IND,231,641,Sustainable Design,3,TR,1015AM,1215PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62416,IND,231,641,Sustainable Design,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63155,IND,261,641,Advanced Kitchen & Bath Design,4,TR,0800AM,1000AM,FLARMR,RP135,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63155,IND,261,641,Advanced Kitchen & Bath Design,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64740,IND,280,601,Internship,4,,,,FLARMR,TBA,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64741,IND,280,602,Internship,2,,,,FLARMR,TBA,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63307,MGD,103,631,Intro to Production Design,3,MW,0700PM,0900PM,FLARMR,RP149,14,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63647,MGD,104,601,Videography,3,TR,0500PM,0700PM,FLARMR,BP117,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60568,MGD,111,601,Adobe Photoshop I,3,MW,0900AM,1100AM,FLARMR,BP117,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62796,MGD,111,602,Adobe Photoshop I,3,TR,0700PM,0900PM,FLARMR,RP149,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60569,MGD,112,601,Adobe Illustrator I,3,TR,1130AM,0130PM,FLARMR,BP117,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64338,MGD,112,602,Adobe Illustrator I,3,MW,1110AM,0110PM,FLARMR,BP117,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64222,MGD,117,601,Intro to Visual Communications,3,MW,0330PM,0530PM,FLARMR,BP117,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60570,MGD,133,601,Graphic Design I,3,TR,0230PM,0430PM,FLARMR,BP117,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63648,MGD,202,601,Point of Purch Package Design,3,TR,0900AM,1100AM,FLARMR,BP117,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64221,MGD,203,621,Design and Concept,3,MW,0700PM,0900PM,FLARMR,RP149,8,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64339,MGD,233,601,Graphic Design II,3,F,1000AM,0200PM,FLARMR,BP117,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63820,MGD,268,601,Business for Creatives,3,MW,0120PM,0320PM,FLARMR,BP117,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60604,MUS,100,601,Music Theory Fundamentals I,3,MWF,1100AM,1150AM,FLARMR,RP101,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60621,MUS,110,601,Music Theory I,3,TR,0835AM,0950AM,FLARMR,RP101,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63821,MUS,111,601,Music Theory II,3,TR,1000AM,1115AM,FLARMR,RP101,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60628,MUS,112,601,Ear Training/Sightsing I Lab,1,MW,0835AM,0925AM,FLARMR,RP101,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63822,MUS,113,601,Ear Training/Sightsing II Lab,1,MW,1000AM,1050AM,FLARMR,RP101,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60630,MUS,120,601,Music Appreciation: AH1,3,MW,0400PM,0515PM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62147,MUS,120,602,Music Appreciation: AH1,3,MW,0100PM,0215PM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60631,MUS,120,603,Music Appreciation: AH1,3,TR,1000AM,1115AM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60632,MUS,120,604,Music Appreciation: AH1,3,TR,0810AM,0950AM,FLARMR,RP136,16,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,,
O,60634,MUS,121,601,Music Hist Mdvl-Classical: AH1,3,TR,1125AM,1240PM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63498,MUS,122,601,Music Hist Romantic-Prsnt: AH1,3,TR,0100PM,0215PM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60635,MUS,131,631,Music Class I: Piano,2,TR,1125AM,1215PM,FLARMR,RP101,12,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63151,MUS,132,621,Music Class II: Piano,2,TR,1125AM,1215PM,FLARMR,RP101,6,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60643,MUS,141,601,Private Instruction: Piano,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60645,MUS,141,602,Private Instruction: Piano,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60647,MUS,141,603,Private Instruction: Piano,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60650,MUS,141,604,Private Instruction: Guitar,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60651,MUS,141,605,Priv Instr: Classical Guitar,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60652,MUS,141,606,Private Instruction:BassGuitar,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60653,MUS,141,608,Private Instruction: Mandolin,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63521,MUS,141,609,Private Instruction: Violin,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60654,MUS,141,610,Private Instruction: Viola,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60655,MUS,141,611,Private Instruction: Cello,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63522,MUS,141,612,Priv.Instruction:Acoustic Bass,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60656,MUS,141,613,Private Instruction: Voice,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62569,MUS,141,614,Private Instruction:Voice,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63825,MUS,141,615,Priv Instruction: Composition,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64935,MUS,141,616,Private Instruction: Guitar,2,,,,FLARMR,RP100,1,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60657,MUS,142,601,Private Instruction: Piano,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60658,MUS,142,602,Private Instruction: Piano,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60659,MUS,142,603,Private Instruction: Piano,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60662,MUS,142,604,Private Instruction: Guitar,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63523,MUS,142,605,Priv Instr: Classical Guitar,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63524,MUS,142,606,Priv. Instruction: Bass Guitar,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60667,MUS,142,608,Private Instruction: Mandolin,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60669,MUS,142,609,Private Instruction: Violin,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63525,MUS,142,610,Private Instruction: Viola,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63526,MUS,142,611,Private Instruction: Cello,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63527,MUS,142,612,Priv.Instruction: Acoustic Bass,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60671,MUS,142,613,Private Instruction: Voice,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62571,MUS,142,614,Private Instruction: Voice,1,,,,FLARMR,RP100,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63826,MUS,142,615,Priv Instruction: Composition,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64936,MUS,142,616,Private Instruction: Piano,2,,,,FLARMR,RP100,1,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60672,MUS,143,601,Private Instruction: Piano,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60673,MUS,143,602,Private Instruction: Piano,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63528,MUS,143,603,Private Instruction: Piano,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60674,MUS,143,604,Private Instruction: Guitar,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60675,MUS,143,605,Private Instruction:  Classical Guitar,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63529,MUS,143,606,Priv.Instruction: Bass Guitar,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63530,MUS,143,608,Private Instruction: Mandolin,1,,,,FLARMR,RP100,1,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63531,MUS,143,609,Private Instruction: Violin,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63532,MUS,143,610,Private Instruction: Viola,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63533,MUS,143,611,Private Instruction: Cello,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60680,MUS,143,612,Priv Instruction:Acoustic Bass,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60681,MUS,143,613,Private Instruction: Voice,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63534,MUS,143,614,Private Instruction: Voice,1,,,,FLARMR,RP100,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64993,MUS,143,615,Priv Instr: Composition,2,,,,FLARMR,RP101,1,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62572,MUS,151,631,Ensemble I: Choir,1,MW,0225PM,0340PM,FLARMR,RP106,20,22-Jan-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,,
O,64979,MUS,151,633,Ensemble I: Orchestra,1,,,,FLARMR,TBA,5,22-Jan-19,8-Apr-19,1-Feb-19,23-Mar-19,STAFF,,
O,62715,MUS,152,621,Ensemble II: Choir,1,MW,0225PM,0340PM,FLARMR,RP106,20,22-Jan-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,,
O,64980,MUS,152,623,Ensemble II: Orchestra,1,,,,FLARMR,TBA,5,22-Jan-19,8-Apr-19,1-Feb-19,23-Mar-19,STAFF,,
O,60685,MUS,161,601,Computer Music Applications I,3,MW,0100PM,0215PM,FLARMR,RP101,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62576,MUS,162,601,Computer Music Applications II,3,MW,0400PM,0515PM,FLARMR,RP101,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62577,MUS,163,601,Music Audio Production I,3,MW,0230PM,0345PM,FLARMR,RP101,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63153,MUS,164,601,Music Audio Production II,3,MW,0530PM,0645PM,FLARMR,RP101,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64223,MUS,211,601,Music Theory IV,3,TR,0100PM,0215PM,FLARMR,RP101,8,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64224,MUS,213,601,Adv Ear Train/Sightsing II Lab,1,TR,0225PM,0315PM,FLARMR,RP101,8,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64225,MUS,251,621,Ensemble I: Choir,1,MW,0225PM,0340PM,FLARMR,RP106,20,22-Jan-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,,
O,64981,MUS,251,623,Ensemble I: Orchestra,1,,,,FLARMR,TBA,5,22-Jan-19,8-Apr-19,1-Feb-19,23-Mar-19,STAFF,,
O,64629,MUS,252,621,Ensemble II: Choir,1,MW,0225PM,0340PM,FLARMR,RP106,20,22-Jan-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,,
O,64849,MUS,252,622,Ensemble II:Choir,1,MW,0225PM,0340PM,FLARMR,RP106,20,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,,
O,64226,MUS,265,601,Live Audio Engineering,3,F,0100PM,0345PM,FLARMR,RP101,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64569,MUS,289,601,Capstone,2,,,,FLARMR,TBA,5,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,,
O,62320,THE,105,601,Theatre Appreciation: AH1,3,MWF,1100AM,1150AM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60753,THE,111,601,Acting I,3,TR,0225PM,0340PM,FLARMR,RP106,12,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60754,THE,112,601,Acting II,3,TR,0400PM,0515PM,FLARMR,RP106,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63828,THE,116,601,Technical Theatre,3,F,0100PM,0330PM,FLARMR,RP106,12,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64571,THE,135,601,Stage Makeup I,3,MW,0300PM,0415PM,FLARMR,RP107,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
,64571,THE,135,601,Costume Design and Construction,3,MW,0300PM,0415PM,FLARMR,RP107,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64311,THE,215,601,Playwriting: AH1,3,TR,0100PM,0215PM,FLARMR,RP107,12,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64570,THE,232,601,Theatre Production IV,3,TR,0700PM,0900PM,FLARMR,RP106,15,26-Feb-19,13-May-19,8-Mar-19,27-Apr-19,STAFF,,
O,65151,THE,132,601,Theatre Production II,3,TR,0700PM,0900PM,FLARMR,RP106,15,26-Feb-19,13-May-19,8-Mar-19,27-Apr-19,STAFF,,"Note: this is the Spring 2019 Theatre studio production. (short session, 2nd 10 weeks)  "
